----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
Ar I      |     688.8174    |    10 | 2.5e+05   | D+   |    13.15314307    -     14.95260383   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     693.7664    |    50 | 3.08e+06  | C    |    12.90701451    -     14.6936389    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* | 0   |    |        T1218n |   L2634  |
Ar I      |     695.1478    |     7 | 2.2e+05   | D    |    13.17177690    -     14.95485113   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     696.0250    |     7 | 2.4e+05   | D    |    13.17177690    -     14.95260383   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar I      |     696.5431    | 10000 | 6.39e+06  | C    |    11.5483537     -     13.32785623   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1   |    |        T1242n |   L2634  |
Ar II     |     699.0122    |     5 | 2.e+05    | C+   |    17.77579154    -     19.54901058   | 3s2.3p4.(3P).3d       | 4F      | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 5/2 |    |          T926 |  L14821  |
Ar I      |     703.0251    |   150 | 2.67e+06  | C    |    13.07571492    -     14.83881010   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     706.7218    | 10000 | 3.80e+06  | C    |    11.5483537     -     13.30222666   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   |    |        T1242n |   L2634  |
Ar I      |     706.8736    |   100 | 2.0e+06   | D+   |    13.09487176    -     14.84836809   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 1   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
